"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Prospark Recyclers","09665596752","1704, ganji galli, C Ward, somwar peth, Kolhapur, Maharashtra 416002","Tuesday:[9 am–5 pm],Wednesday:[9 am–5 pm],Thursday:[9 am–5 pm],Friday:[9 am–5 pm],Saturday:[9 am–12 pm],Sunday:[9 am–12 pm],Monday:[9 am–5 pm]","https://www.google.com/maps?cid=14328141059664027913","11","Waste management service","4.9","business.site","yes","16.700684499999998","74.2202331","ChIJe1-2up4BwTsRCaH2SGHI18Y","0x3bc1019ebab65f7b:0xc6d7c86148f6a109","https://lh5.googleusercontent.com/p/AF1QipOj_H7G6WVXfWFyJy6d3Ldbjuym__aqwlcMbqV9","https://search.google.com/local/reviews?placeid=ChIJe1-2up4BwTsRCaH2SGHI18Y&q=e+waste+in+kolhapur&authuser=0&hl=en&gl=IN"
"2","Magnus E-waste Management","","1731, B Ward, New Mahadwar Rd, Mangalwar Peth, C Ward, Kolhapur, Maharashtra 416012","","https://www.google.com/maps?cid=16147099103757457130","null","Recycling center","null","business.site","yes","16.6879079","74.2228664","ChIJmZt0uboBwTsR6tZ9eBUFFuA","0x3bc101bab9749b99:0xe0160515787dd6ea","https://lh5.googleusercontent.com/p/AF1QipOiQV25T4MAuFFgrV2xlatIkZ1Zrie3aRHw9qQ",""
