"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Suritex Pvt Ltd - Electronic Waste Recyclers","09049981347","Admn Office 5&6, Zal Complex, Residency Rd, opp. SFS school, above Roast café, Sadar, Nagpur, Maharashtra 440001","Tuesday:[11 am–7 pm],Wednesday:[11 am–7 pm],Thursday:[11 am–7 pm],Friday:[11 am–7 pm],Saturday:[11 am–7 pm],Sunday:[Closed],Monday:[11 am–7 pm]","https://www.google.com/maps?cid=9456202598665781740","16","Recycling center","3.9","suritex.co.in","yes","21.160317799999998","79.0794232","ChIJ0bj4EcDA1DsR7IGZkSkuO4M","0x3bd4c0c011f8b8d1:0x833b2e29919981ec","https://lh5.googleusercontent.com/p/AF1QipOvk-cbBUnuQZUaJUuD9Drd4e22JO_q9bGd6za_","https://search.google.com/local/reviews?placeid=ChIJ0bj4EcDA1DsR7IGZkSkuO4M&q=e+waste+in+nagpur&authuser=0&hl=en&gl=IN"
"2","Nagraj E-waste Recycling","07122761247","Flat No.004, Om Maa Bamleshwari App, near Patidar Bhavan, Queta Colony, Bagadganj, Nagpur, Maharashtra 440008","Tuesday:[9 am–9 pm],Wednesday:[9 am–9 pm],Thursday:[9 am–9 pm],Friday:[9 am–9 pm],Saturday:[9 am–9 pm],Sunday:[Closed],Monday:[9 am–9 pm]","https://www.google.com/maps?cid=10386855604525305509","1","Waste management service","5","null","yes","21.1532961","79.11910519999999","ChIJq6pqzDDH1DsRpY4B8SOGJZA","0x3bd4c730cc6aaaab:0x90258623f1018ea5","https://lh5.googleusercontent.com/p/AF1QipPXFSMdMJRzdg5p9vzKI8j0xBWjYw4VLNgaKg4J","https://search.google.com/local/reviews?placeid=ChIJq6pqzDDH1DsRpY4B8SOGJZA&q=e+waste+in+nagpur&authuser=0&hl=en&gl=IN"
"3","Jagdish E-Waste Recycle","","Nai Basti Rd, Mangalwari Bazar, Sadar, Nagpur, Maharashtra 440001","","https://www.google.com/maps?cid=5062594536054610541","null","Scrap metal dealer","null","null","yes","21.177702","79.113599","ChIJyzp5LYLH1DsRbVpeY-jyQUY","0x3bd4c7822d793acb:0x4641f2e8635e5a6d","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid",""
"4","Elecreco","09890400012","Plot no.1, near Eidgh Ground, Teachers colony, Jafar Nagar, New Mankapur, Nagpur, Maharashtra 440013","Tuesday:[9 am–7 am],Wednesday:[9 am–7 am],Thursday:[9 am–7 am],Friday:[9 am–7 am],Saturday:[9 am–7 am],Sunday:[Closed],Monday:[9 am–7 am]","https://www.google.com/maps?cid=6701536963772701865","11","Electronics Company","4.9","elecreco.com","yes","21.1838801","79.0677716","ChIJwSHfSJPB1DsRqVzSvlykAF0","0x3bd4c19348df21c1:0x5d00a45cbed25ca9","https://lh5.googleusercontent.com/p/AF1QipNzr7269arum68_6WM1-izQvbkVVfmEEqtG5gQ6","https://search.google.com/local/reviews?placeid=ChIJwSHfSJPB1DsRqVzSvlykAF0&q=e+waste+in+nagpur&authuser=0&hl=en&gl=IN"
