"Id",Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Green e-Bin E-waste Recycling","09921040501","B-18, MIDC Industrial Area, Chilkalthana, Aurangabad, Maharashtra 431006","Tuesday:[9 am–7 pm],Wednesday:[9 am–7 pm],Thursday:[9 am–7 pm],Friday:[9 am–7 pm],Saturday:[9 am–7 pm],Sunday:[9 am–7 pm],Monday:[9 am–7 pm]","https://www.google.com/maps?cid=4920038267419651878","5","Electronics Company","4.2","facebook.com","no","19.879717199999998","75.3862462","ChIJTbLTQ-Ki2zsRJm_gmrx8R0Q","0x3bdba2e243d3b24d:0x44477cbc9ae06f26","https://lh5.googleusercontent.com/p/AF1QipNS6k-wu13X2GhAouIb7dEFAvaGcNjc6yqNRTyP","https://search.google.com/local/reviews?placeid=ChIJTbLTQ-Ki2zsRJm_gmrx8R0Q&q=e+waste+in+aurangabad&authuser=0&hl=en&gl=IN"
"2","PERFECT E- WASTE RECYCLERS","09156606777","Plot No. A, 8/1, MIDC Industrial Area, Chilkalthana, Aurangabad, Maharashtra 431006","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[9 am–5 pm],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=5321486220698102903","3","Corporate office","5","instagram.com","yes","19.876159299999998","75.3826284","ChIJezxYReOi2zsRd6zY9YW32Uk","0x3bdba2e345583c7b:0x49d9b785f5d8ac77","https://lh5.googleusercontent.com/p/AF1QipPXvQDjRv5n-UF9jQw1iSkjIXWzMKlJ40KMWfuP","https://search.google.com/local/reviews?placeid=ChIJezxYReOi2zsRd6zY9YW32Uk&q=e+waste+in+aurangabad&authuser=0&hl=en&gl=IN"
"3","ERECON RECYCLING E-waste Recycling","","Gut No.94, Paithan Rd, opposite RL Steel, Aurangabad, Maharashtra 431005","","https://www.google.com/maps?cid=710590630397664917","1","Bottle & can redemption center","5","ereconrecycling.com","yes","19.8207655","75.2892952","ChIJyVnr2pSZ2zsRld6S2WmG3Ak","0x3bdb9994daeb59c9:0x9dc8669d992de95","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJyVnr2pSZ2zsRld6S2WmG3Ak&q=e+waste+in+aurangabad&authuser=0&hl=en&gl=IN"
"5","ERECON RECYCLING","09890863108","Shri Krishna Colony, Chilkalthana, Aurangabad, Maharashtra 431007","Tuesday:[9 am–5 pm],Wednesday:[9 am–5 pm],Thursday:[9 am–5 pm],Friday:[9 am–5 pm],Saturday:[9 am–5 pm],Sunday:[9 am–5 pm],Monday:[9 am–5 pm]","https://www.google.com/maps?cid=4705846042455895515","5","Waste management service","5","ereconrecycling.com","yes","19.866304","75.4112767","ChIJf4z7VHWj2zsR2-1CAAuGTkE","0x3bdba37554fb8c7f:0x414e860b0042eddb","https://lh5.googleusercontent.com/p/AF1QipOfCVlAGOCtfnJuQNpm8cpzsjC392-8siX2xImA","https://search.google.com/local/reviews?placeid=ChIJf4z7VHWj2zsR2-1CAAuGTkE&q=e+waste+in+aurangabad&authuser=0&hl=en&gl=IN"
